ano_mes,municipio_ibge,municipio,estado_ibge,estado,sigla_regiao,regiao,valor_pagador_pf,qtd_pagador_pf,valor_pagador_pj,qtd_pagador_pj,vl_recebedorpf,qt_recebedorpf,vl_recebedorpj,qt_recebedorpj,qt_pes_pagadorpf,qt_pes_pagadorpj,qt_pes_recebedorpf,qt_pes_recebedorpj
202306,2807204,Siriri,28,SERGIPE,NE,NORDESTE,10351947.15,73277,1668841.03,1719,9852689.8,51064,1592967.25,2881,3219,77,3312,59
202208,2601003,Angelim,26,PERNAMBUCO,NE,NORDESTE,7879871.65,40630,749266.89,730,6917903.35,32544,1629098.88,1557,2733,53,2839,47
202405,2604304,Cedro,26,PERNAMBUCO,NE,NORDESTE,32483354.3,225579,5167329.92,4057,30398140.29,149165,6173968.66,17677,6352,125,6128,121
202106,5002902,Cassilândia,50,MATO GROSSO DO SUL,CO,CENTRO-OESTE,14858481.31,33089,6890594.93,3430,17147033.81,32241,5768778.43,4740,5081,381,4955,444
202212,2601003,Angelim,26,PERNAMBUCO,NE,NORDESTE,10451849.42,57851,947235.37,1097,10198905.1,43950,1808914.63,2702,3137,49,3250,52
202507,4308805,General Câmara,43,RIO GRANDE DO SUL,SU,SUL,19379400.69,130217,7799452.73,6031,19459796.83,63358,7089397.37,17846,4291,269,4058,261
202501,5002902,Cassilândia,50,MATO GROSSO DO SUL,CO,CENTRO-OESTE,82016510.58,373046,43981022.19,32404,83668669.26,208930,46140518.32,95720,13098,1055,13030,1007
202312,2111029,São João Do Carú,21,MARANHÃO,NE,NORDESTE,24178125.7,181797,2416588.17,2262,23668647.12,115823,2140982.96,7069,5647,91,5389,91
202310,2601003,Angelim,26,PERNAMBUCO,NE,NORDESTE,13952481.5,96788,1170198.41,1285,12693325.34,61950,1830262.94,5137,3927,61,3948,61
202412,2601003,Angelim,26,PERNAMBUCO,NE,NORDESTE,23374174.9,161781,2034854.25,1556,21388263.63,102283,2966492.29,11352,4921,80,4872,72
202211,2100501,Alto Parnaíba,21,MARANHÃO,NE,NORDESTE,22265768.81,90773,6741642.6,4374,19244314.11,66246,5167759.79,13746,4452,174,4376,169
202401,2601003,Angelim,26,PERNAMBUCO,NE,NORDESTE,16005022.08,107601,1142024.82,1330,14163660.2,67494,1918769.79,6266,4165,65,4164,60
202306,5002902,Cassilândia,50,MATO GROSSO DO SUL,CO,CENTRO-OESTE,62350796.84,198561,18860807.46,17406,65068497.78,138592,19696675.77,46687,10923,774,10919,782
202505,2601003,Angelim,26,PERNAMBUCO,NE,NORDESTE,23629166.85,166461,2247635.05,1998,21861826.24,105206,3711117.11,12924,5026,94,4979,81
202102,2604304,Cedro,26,PERNAMBUCO,NE,NORDESTE,1389709.03,4275,81241.98,66,1376317.68,4216,72472.5,78,805,14,943,17
202304,5002902,Cassilândia,50,MATO GROSSO DO SUL,CO,CENTRO-OESTE,48283938.33,176385,19257932.64,15142,50523457.36,130672,17347862.1,39679,10560,737,10561,740
202202,2111029,São João Do Carú,21,MARANHÃO,NE,NORDESTE,6078964.58,26541,1076113.9,752,6029679.19,21698,1097448.82,1492,2355,67,2374,55
202408,2111029,São João Do Carú,21,MARANHÃO,NE,NORDESTE,31972141.19,228124,2582402.89,2637,30655743.35,147954,3130819.68,9077,6473,110,6115,96
202206,5002902,Cassilândia,50,MATO GROSSO DO SUL,CO,CENTRO-OESTE,42637736.47,110447,24739168.8,10124,39966629.29,91028,22070791.56,23845,8649,625,8669,641
202102,2102077,Bom Lugar,21,MARANHÃO,NE,NORDESTE,608920.41,1823,29756.57,42,748620.71,1876,41862.28,46,405,9,470,12
202412,1701903,Araguacema,17,TOCANTINS,NO,NORTE,22208995.5,138296,3987408.6,8468,21866205.07,81983,4125059.6,20185,3511,118,3440,115
202312,2604304,Cedro,26,PERNAMBUCO,NE,NORDESTE,29146829.79,194056,3583632.31,2817,26839837.36,133109,4365901.49,11571,5910,109,5768,117
202201,2601003,Angelim,26,PERNAMBUCO,NE,NORDESTE,4569431.95,20660,404222.84,324,4312716.35,17618,519579.02,545,1951,32,2056,30
202311,2604304,Cedro,26,PERNAMBUCO,NE,NORDESTE,24313531.27,172744,2210612.09,2402,23485404.44,119506,2598859.15,8567,5889,110,5752,120
202303,2601003,Angelim,26,PERNAMBUCO,NE,NORDESTE,11030619.26,63890,1114591.14,1234,10305712.74,46588,1425907.29,3046,3369,58,3473,52
202312,3112307,Capelinha,31,MINAS GERAIS,SE,SUDESTE,125853230.38,584865,48837112.13,40465,129110093.05,374775,50520652.33,121436,22045,1614,22224,1557
202103,2102077,Bom Lugar,21,MARANHÃO,NE,NORDESTE,1139304.79,3050,307990.24,77,1150181.5,3079,59668.71,70,582,15,673,11
202207,2111029,São João Do Carú,21,MARANHÃO,NE,NORDESTE,11027815.66,54834,1819899.23,1346,11176807.42,42310,1662913.69,3305,3286,87,3256,76
202402,4311627,Lindolfo Collor,43,RIO GRANDE DO SUL,SU,SUL,11288366.38,73293,26367792.0,5927,11097535.34,42085,20081459.12,11174,3366,246,3140,253
202503,2102077,Bom Lugar,21,MARANHÃO,NE,NORDESTE,31669057.06,185607,3219885.0,4806,27470522.79,115027,4537589.46,18296,5270,95,5061,84
202403,2102077,Bom Lugar,21,MARANHÃO,NE,NORDESTE,20405774.17,139971,1676668.84,2871,18004720.12,87380,2493331.38,10247,4575,75,4442,72
202507,2111029,São João Do Carú,21,MARANHÃO,NE,NORDESTE,43929620.19,303198,4712455.62,4578,43003655.23,195718,5107939.77,18053,7437,115,6893,115
202201,2111029,São João Do Carú,21,MARANHÃO,NE,NORDESTE,5935056.58,24506,1043204.5,656,5845655.95,20097,616514.61,1371,2183,59,2252,61
202404,2604304,Cedro,26,PERNAMBUCO,NE,NORDESTE,26507687.06,200731,2974774.64,3766,24756434.38,131766,3742021.44,15438,6197,125,6005,129
202106,2601003,Angelim,26,PERNAMBUCO,NE,NORDESTE,2063126.73,7917,191295.73,174,1942922.94,8745,229869.47,142,1246,22,1376,26
202401,2100501,Alto Parnaíba,21,MARANHÃO,NE,NORDESTE,29378927.36,200399,9158087.62,8941,28164314.86,111613,8274646.94,29682,5605,231,5479,225
