AnoMes,Municipio_Ibge,Municipio,Estado_Ibge,Estado,Sigla_Regiao,Regiao,VL_PagadorPF,QT_PagadorPF,VL_PagadorPJ,QT_PagadorPJ,VL_RecebedorPF,QT_RecebedorPF,VL_RecebedorPJ,QT_RecebedorPJ,QT_PES_PagadorPF,QT_PES_PagadorPJ,QT_PES_RecebedorPF,QT_PES_RecebedorPJ
202412,4317558,SANTO ANTÔNIO DO PALMA,43,RIO GRANDE DO SUL,SU,SUL,6836268.98,18856,1486908.59,896,5869556.83,9325,2203377.36,2311,895,84,822,69
202210,4107009,CURIÚVA,41,PARANÁ,SU,SUL,17473170.31,64581,15106380.84,6808,18394836.68,48454,16076916.92,12345,5141,351,5101,350
202310,1714203,NATIVIDADE,17,TOCANTINS,NO,NORTE,29610420.77,153268,14814841.6,11379,29354906.32,98167,21168104.81,28561,5014,301,5042,296
202209,4322186,TUPANCI DO SUL,43,RIO GRANDE DO SUL,SU,SUL,1374830.16,3029,602436.25,163,987720.47,1673,806195.55,645,419,25,317,30
202304,1714203,NATIVIDADE,17,TOCANTINS,NO,NORTE,22468782.38,109577,10255610.13,8109,21789230.4,79092,11876291.69,20618,4694,268,4791,253
202307,1714203,NATIVIDADE,17,TOCANTINS,NO,NORTE,26022022.57,134383,11752542.08,9628,25172722.05,89248,26342763.92,26315,4822,291,4886,286
202508,4107009,CURIÚVA,41,PARANÁ,SU,SUL,45395367.45,234775,27910299.42,16709,44648360.39,126727,26407239.05,43994,7903,514,7651,497
202209,1714203,NATIVIDADE,17,TOCANTINS,NO,NORTE,19654046.95,84334,8888080.96,6929,19350142.03,66730,13072082.34,17938,4199,235,4305,233
202202,3165909,SENADOR MODESTINO GONÇALVES,31,MINAS GERAIS,SE,SUDESTE,3224701.56,13909,1434752.28,478,3337396.7,13028,881693.42,1086,1240,43,1293,45
202301,3139607,MANTENA,31,MINAS GERAIS,SE,SUDESTE,44799662.52,165362,32320623.7,12132,48837465.96,124940,14859406.65,40392,10906,667,11080,622
202102,5006408,PEDRO GOMES,50,MATO GROSSO DO SUL,CO,CENTRO-OESTE,2278608.33,3806,284020.29,271,2292691.44,3206,355967.4,295,812,52,802,67
202107,4322186,TUPANCI DO SUL,43,RIO GRANDE DO SUL,SU,SUL,667076.48,874,178685.14,79,693814.1,589,186958.5,194,208,14,144,19
202308,1714203,NATIVIDADE,17,TOCANTINS,NO,NORTE,27982852.66,136171,13106478.02,10805,26090451.36,89202,20512864.51,26477,4943,303,5020,296
202505,4317558,SANTO ANTÔNIO DO PALMA,43,RIO GRANDE DO SUL,SU,SUL,5336513.56,17186,2207177.25,1177,5719948.46,8238,2114873.58,2299,928,92,842,80
202111,4317558,SANTO ANTÔNIO DO PALMA,43,RIO GRANDE DO SUL,SU,SUL,1030695.51,2722,372709.44,194,948962.18,1514,447723.47,641,438,38,346,43
202409,4107009,CURIÚVA,41,PARANÁ,SU,SUL,33497791.16,186877,24717322.49,14141,35570700.62,103567,23429167.92,31660,7216,518,7018,480
